Model,Gross Sharpe,Annual Turnover,Net Sharpe (10bp),Net Sharpe (25bp),Net Sharpe (50bp),Net Cum. Return (10bp),Net Cum. Return (25bp),Net Cum. Return (50bp),Δ Sharpe (25bp)
ED Only,1.3125,0.0438,1.3122,1.3118,1.311,43.2088,43.1902,43.1592,0.0008
ED + KS,1.341,0.0415,1.3408,1.3403,1.3397,45.6705,45.6525,45.6227,0.0007
ED + KS + L-Kurt,1.3349,0.0415,1.3347,1.3343,1.3336,46.0278,46.0098,45.9799,0.0007
ED + KS + Tail_Asym,1.3272,0.0402,1.327,1.3266,1.3259,46.841,46.8235,46.7943,0.0007
ED + AD + Tail_Asym,1.3035,0.04,1.3032,1.3029,1.3022,47.8686,47.851,47.8218,0.0006
ED + AD + L-Kurt,1.2999,0.0414,1.2997,1.2993,1.2986,46.4725,46.4545,46.4245,0.0007
ED + CvM + Tail_Asym,1.2975,0.0404,1.2972,1.2968,1.2962,48.0419,48.0241,47.9946,0.0006
ED + Epps-Singleton + Tail_Asym,1.1834,0.0411,1.1831,1.1828,1.1822,45.4674,45.4496,45.4201,0.0006
Correlation Only,1.2809,0.0452,1.2806,1.2801,1.2794,43.1567,43.1375,43.1055,0.0008
Volatility Only,1.3653,0.0425,1.3649,1.3644,1.3636,38.4267,38.4093,38.3802,0.0008
Correlation + Volatility,1.3824,0.042,1.3821,1.3816,1.3808,39.8565,39.839,39.81,0.0008
KS Only,1.3366,0.0419,1.3363,1.3358,1.3351,44.043,44.0251,43.9953,0.0007
AD Only,1.332,0.0411,1.3317,1.3313,1.3306,45.2608,45.2431,45.2136,0.0007
Correlation + ED,1.3147,0.0432,1.3144,1.3139,1.3132,44.5421,44.5235,44.4927,0.0007
Correlation + KS,1.3365,0.0416,1.3363,1.3358,1.3351,45.3128,45.2949,45.265,0.0007
Correlation + ED + KS,1.336,0.0414,1.3357,1.3353,1.3346,46.6012,46.5833,46.5533,0.0007
