Stock,Sector,Corr,AD_Mean,AD_Std,ED_Mean,ED_Std
AAPL,XLK,0.6873,0.1846,0.2383,0.0821,0.0215
MSFT,XLK,0.7215,0.2611,0.2439,0.0767,0.0203
NVDA,XLK,0.8035,0.2597,0.2916,0.0735,0.0166
TSLA,XLY,0.7678,0.1708,0.2397,0.0776,0.0184
AMZN,XLY,0.7939,0.2319,0.2775,0.0686,0.0144
HD,XLY,0.6305,0.257,0.2566,0.0753,0.0173
JPM,XLF,0.8451,0.3437,0.3207,0.0662,0.0191
BAC,XLF,0.8476,0.2353,0.2475,0.0699,0.0134
GS,XLF,0.7767,0.175,0.2431,0.0815,0.0187
XOM,XLE,0.9245,0.3934,0.3252,0.0554,0.0113
CVX,XLE,0.9089,0.3505,0.2808,0.0631,0.0135
COP,XLE,0.9105,0.3071,0.2141,0.0584,0.0119
JNJ,XLV,0.5986,0.2899,0.2466,0.0919,0.0163
UNH,XLV,0.4692,0.0505,0.0957,0.1268,0.0377
PFE,XLV,0.5423,0.2432,0.2942,0.075,0.016
WMT,XLP,0.594,0.2849,0.2989,0.0953,0.0233
PG,XLP,0.7785,0.3174,0.2547,0.0706,0.0177
KO,XLP,0.7863,0.3177,0.2918,0.0648,0.0178
