Stock,ED_Shape,L_Kurt,Cluster,Silhouette,Profile
AAPL,0.05474927212476657,0.2054,1,0.5430193794221831,Intermediate Distributional Profile
MSFT,0.04855016968961269,0.2018,1,0.6043677786501362,Intermediate Distributional Profile
NVDA,0.030307792821254776,0.1731,2,0.6947129284625365,Low Distributional Risk
TSLA,0.044665422026260025,0.1881,1,0.5011510378505233,Intermediate Distributional Profile
AMZN,0.05297478450107024,0.192,1,0.5312186561810869,Intermediate Distributional Profile
HD,0.032929913727100225,0.1706,2,0.75763367576607,Low Distributional Risk
JPM,0.03748505363627073,0.2051,1,0.5355674782649652,Intermediate Distributional Profile
BAC,0.031987593250538994,0.1959,1,0.44576005000762203,Intermediate Distributional Profile
GS,0.034268764696266434,0.1953,1,0.49251568201608553,Intermediate Distributional Profile
XOM,0.02784221630382522,0.1604,2,0.6992138410454749,Low Distributional Risk
CVX,0.036968094192185164,0.1855,1,0.2618505207276906,Intermediate Distributional Profile
COP,0.03152855199805783,0.1678,2,0.7996593676731412,Low Distributional Risk
JNJ,0.05135130449316799,0.1984,1,0.5961299940950556,Intermediate Distributional Profile
UNH,0.1040214443700697,0.253,0,0.4965476399274656,High Distributional Risk
PFE,0.03708154287783657,0.1772,1,-0.40459530585037073,Intermediate Distributional Profile
WMT,0.07300439995407716,0.2226,0,-0.008321421182204951,High Distributional Risk
PG,0.03693078478378476,0.1814,1,-0.06642851508761607,Intermediate Distributional Profile
KO,0.04299365596832551,0.1882,1,0.4960997485359428,Intermediate Distributional Profile
