,ED Only,ED + KS,ED + KS + L-Kurt,ED + KS + Tail_Asym,ED + AD + Tail_Asym,ED + AD + L-Kurt,ED + CvM + Tail_Asym,ED + Epps-Singleton + Tail_Asym,Correlation Only,Volatility Only,Correlation + Volatility,KS Only,AD Only,Correlation + ED,Correlation + KS,Correlation + ED + KS
AAPL,0.0497721919165252,0.046007217682726864,0.04581953054450599,0.05057092369694311,0.04959095194745937,0.04506274840986765,0.05019257104889702,0.051135562264136826,0.050849709465284616,0.05274418585440658,0.048186498187579425,0.05039300448969204,0.049164169003223665,0.04582700950409544,0.046664644062869555,0.04258074005861882
MSFT,0.05548893283801802,0.05508999293594642,0.05618966914000696,0.05198381131635345,0.052025037829596936,0.05682614848825386,0.05113516708788152,0.05458788615516837,0.05655367809600174,0.05379458958704742,0.05529806508902655,0.055749366475116996,0.05677005818155712,0.05626867767868248,0.056750331136411425,0.05594134580558627
NVDA,0.054512002865930775,0.054699552011240736,0.058539402988665286,0.06498315412478649,0.06514628459225393,0.05892629759797788,0.06458635703868174,0.06829293312332843,0.06070754118236324,0.02836445532310712,0.031353871126156965,0.05689786379732558,0.0578388269602251,0.05789925711838452,0.06020654258385503,0.05675617285029082
TSLA,0.05139824334662144,0.048798133269201675,0.050210648837574395,0.051472832496753405,0.05009608274498185,0.04868983608555579,0.04975713920749931,0.04811026492349254,0.057955083340021356,0.02408866526984183,0.025310376843701958,0.05414685589430105,0.052640292399189485,0.05239193113901859,0.05542222668620459,0.0492558820252162
AMZN,0.060922119916584944,0.06508311731593706,0.06580430509247048,0.061671702314851064,0.06259020515471408,0.0662511322335018,0.06177742627193147,0.06189197799365195,0.057533244054925825,0.040020713194821,0.041831438396917296,0.06036367922327446,0.06146527608312142,0.06181652312273717,0.06127500529002009,0.06522547665974852
HD,0.05146191040371665,0.048634094221590825,0.051289709401469145,0.04814006448670828,0.0493073367077559,0.05276667294334448,0.04965214324113055,0.04629431492463477,0.04580911648112834,0.05826361182376773,0.04844450628558935,0.0526433665778472,0.053250150969359464,0.04151743852779753,0.04292750384024788,0.039109727709546745
JPM,0.05873867969770707,0.05989484033662779,0.053769773639752175,0.056527266316632255,0.05514491500548785,0.052978859436963927,0.05528596441310248,0.057488610206554394,0.06252079084113987,0.058804275141094466,0.06667730373190994,0.05688313064786252,0.05478186657288774,0.06450131553169405,0.06285718238706972,0.0649016852358725
BAC,0.059378987965926944,0.06053268146278217,0.0533859151658489,0.06182875580406722,0.06190017305489417,0.053551516935457275,0.06197390667874907,0.060052062339454246,0.06280755401839115,0.05279133420034322,0.06028154785825351,0.05856441036060735,0.059658193506356344,0.06549388289737325,0.0647117721898262,0.06570954426357782
GS,0.04857833560932633,0.0439429203693126,0.04137980397615868,0.048444817353202295,0.0465182983916138,0.03988306262519107,0.047760218956248525,0.04023517394426365,0.059238932335294106,0.05098852153638953,0.05465258768432918,0.05107614036857275,0.04989971859544039,0.050536824934178055,0.053406855809192307,0.045188232586046886
XOM,0.07079262937391106,0.08018994597473446,0.09461222333851341,0.06384706575966065,0.06531034246546938,0.09611334962211877,0.06564555375272794,0.07214834621283206,0.06887345924870605,0.05505626122360332,0.06898817349104831,0.06544611948743971,0.06798652741573852,0.08574783286852042,0.07963961195179724,0.09581656923298437
CVX,0.06336555895927763,0.06716610467415031,0.06355434017979948,0.06133070619465106,0.06475615104415026,0.06605329461332397,0.06323737682698775,0.06833075289886531,0.0673733914106425,0.057306521696088734,0.07029611544705003,0.0613721970949184,0.06456030338102746,0.07507268112349376,0.07283992142494364,0.07847290338011982
COP,0.07216202355211189,0.08234427565053136,0.08953139749551463,0.06767951217323102,0.07053101793136048,0.09230485638036112,0.0698739095410073,0.07792916373301118,0.06775500066138353,0.04549194573134096,0.05621002182236157,0.06677220354296629,0.0705023587925363,0.08613039542371972,0.079761421770549,0.09679063436489237
JNJ,0.051616869861540474,0.05090097272444846,0.04673288511368883,0.05615113957992012,0.05651407589996638,0.0464804753819443,0.05612858257497055,0.05446014129048727,0.04339061652180196,0.08187938160410856,0.06462257626591678,0.05366374101676771,0.05336929720539153,0.03898962762227846,0.04056849880256527,0.03775592973949558
UNH,0.03997111987021196,0.02901293913994849,0.02311248581520322,0.03103448784911553,0.03291658442461572,0.02438762310212791,0.03299111942124452,0.030869302925999074,0.03912596046750946,0.04989466812384746,0.03734845118970416,0.03453140058172145,0.034340746824074786,0.029163440983271574,0.025214209534395328,0.02147363855875175
PFE,0.05088091327026884,0.04939516758639519,0.05178544436563695,0.06261634953792948,0.059039113637541316,0.04909258426308331,0.061888790259988044,0.050042933440750746,0.04025733449290878,0.0566588512181082,0.042430886285261774,0.054818969587439544,0.05170950640974888,0.0370548127433731,0.04068739414583797,0.03696043355709611
WMT,0.047086938948816076,0.04353085080529575,0.03963160688433339,0.041697216885046004,0.03796657424825472,0.03599081741054878,0.03927275438140479,0.033064124618894464,0.04406890224697573,0.06729326291311592,0.05380503790034944,0.05159786702310109,0.045838821809089665,0.036517672704401795,0.04039785851889147,0.033576471847809986
PG,0.05349983183483285,0.05052384367903971,0.05096146308019107,0.047630743248355735,0.04844682135815767,0.05133425124090447,0.04695454867416743,0.04852246372179002,0.05768191950878166,0.07883121720851768,0.08262107968033287,0.05377737887742754,0.05391697421649,0.05410708643152562,0.05460426704343986,0.05038200927607818
KO,0.06037270976867183,0.06425335016009011,0.06368939494066694,0.07238945086179281,0.07220003356172619,0.06330647322947361,0.07188647062338002,0.0765439852826848,0.05749776562673998,0.08772753835045029,0.09164146271451089,0.06130230495361843,0.062306911674542116,0.06096358964545444,0.06206475282188341,0.06410260284826721
