,ED Only,ED + KS,ED + KS + L-Kurt,ED + KS + Tail_Asym,ED + AD + Tail_Asym,ED + AD + L-Kurt,ED + CvM + Tail_Asym,ED + Epps-Singleton + Tail_Asym,Correlation Only,Volatility Only,Correlation + Volatility,KS Only,AD Only,Correlation + ED,Correlation + KS,Correlation + ED + KS
AAPL,0.07168501451982044,0.08869923049779337,0.08354449149853227,0.09282311531630184,0.10698292564530269,0.0962461813482507,0.09773517971544664,0.11542228958037791,0.0508297052989586,0.05281351353397633,0.048221757713407205,0.08329917085102533,0.10300157166074826,0.06457079003634868,0.07352152549002922,0.07848619070005095
MSFT,0.06908960875894558,0.07472578305978773,0.08046366025361656,0.07069786532623315,0.07795217322353662,0.08509360395139286,0.07452543915643457,0.09852525936187433,0.05641797473344449,0.053705309156008824,0.0550584792443356,0.07692465978327298,0.0889352522211615,0.06949723189800702,0.07856909404942887,0.07606750637024831
NVDA,0.018368672762475318,0.0023379844103268094,0.00239053311021941,0.003469382812737252,0.0025325857654727416,0.0015817694697484288,0.003442590219919559,0.0018704458849162955,0.06065304961394143,0.028236434335123715,0.03118721367700708,0.005214147248628968,0.003397173263404751,0.0197062069080834,0.005331170339373729,0.0022506494337607296
TSLA,0.013784420950974964,0.0004080428521607835,0.00038826368405079574,0.0005045296443858844,0.00014162313984159033,0.00011934000429247112,0.00043868386754724724,4.640034468254525e-05,0.05791713617355315,0.02409480910657145,0.025294586061881803,0.0016889789090834078,0.0006227509442706798,0.014041124409713245,0.0016428624977136333,0.00038932872683295806
AMZN,0.03684557528862961,0.02023784313027373,0.017863405215997216,0.020028843524651417,0.01085029822300037,0.009321069275502712,0.015781532035401984,0.004666356701979624,0.05753772486238051,0.04000969535650462,0.04182561249814939,0.03742399678041984,0.02039423256444752,0.03728157521854269,0.03699528738962613,0.019635996613187556
HD,0.06559322752490536,0.06309970871918111,0.07050666878360007,0.06874015098276279,0.08706153697542893,0.08442078090509986,0.07530027986108684,0.09071267894110144,0.04578818525045806,0.05827184893966705,0.04842314702342648,0.06806924994238628,0.08713264519903073,0.052324831892131,0.053232795491148864,0.048574658593881534
JPM,0.05648994207436663,0.04516166812801648,0.04174927462174154,0.04376921751648703,0.03794537566218307,0.035874929208915135,0.04079106255170473,0.038337957779707894,0.06251085833083915,0.05886340229759835,0.06672847060084006,0.05418699993477044,0.046160164833688816,0.062078110711538605,0.059083667810562006,0.04862600490618999
BAC,0.0413068373961163,0.0213218520299302,0.01822472269465166,0.024170641089381044,0.01443526495584709,0.010080040058921887,0.02000707592754498,0.006929723987981613,0.06276666165256019,0.05281706710826964,0.06026330367960774,0.034930913644885084,0.02024948159276095,0.0457057791036471,0.03785022205740657,0.022754836295032152
GS,0.038060837168264416,0.018971501055055136,0.017648418639410763,0.019061515068836757,0.01586277067492311,0.014731193441678522,0.016621394567283846,0.01074884554905797,0.05921642879801072,0.05101855977917017,0.05465942368891844,0.02703065839456633,0.021210445882117183,0.03955236476705385,0.02777653438061832,0.019215885191308717
XOM,0.09049470672480943,0.1378806068708765,0.1577836282878965,0.10948416320545731,0.12116715167904131,0.17248508755228725,0.11298331184487616,0.1364364955563158,0.0688728067098557,0.055069627789631856,0.06900022975311357,0.11516599782824544,0.13574067514049692,0.10924849030565521,0.1365166915224123,0.15918380010854488
CVX,0.10333742491807442,0.178071793661066,0.16775687109895118,0.15354088777229336,0.18489938546627552,0.20089764422549958,0.1659268201396053,0.20651817735606331,0.06737090653200575,0.057300254800707204,0.07027643924973857,0.12429972855315038,0.1606118043318634,0.124144814224738,0.14577825985458706,0.20580695153224912
COP,0.04996491779530299,0.03917820029305061,0.04270109133045211,0.036574852305484906,0.03479934083435114,0.036883863981899044,0.03724533825102831,0.03312551842093375,0.06776013756154825,0.04547390362627016,0.05619090578791236,0.05727713575452097,0.05077041869083363,0.05953880607486262,0.06629145788985524,0.04473376624484631
JNJ,0.07350089040455125,0.07743594799041348,0.07203444983492338,0.08929449241562193,0.08544982699361506,0.06732091978830658,0.09076475823071267,0.07589948507218415,0.04351426254452955,0.08185912244466512,0.06479477354328116,0.07496949569595311,0.0743985688832551,0.056578150966511614,0.05709894980503777,0.05849545097603608
