,ED Only,ED + KS,ED + KS + L-Kurt,ED + KS + Tail_Asym,ED + AD + Tail_Asym,ED + AD + L-Kurt,ED + CvM + Tail_Asym,ED + Epps-Singleton + Tail_Asym,Correlation Only,Volatility Only,Correlation + Volatility,KS Only,AD Only,Correlation + ED,Correlation + KS,Correlation + ED + KS
AAPL,0.053336549456848195,0.05096958544464493,0.048398347195528366,0.05474382255425666,0.05642032020357737,0.04939114540651295,0.056289010804318855,0.05818805037839175,0.0508297052989586,0.05281351353397633,0.048221757713407205,0.051212076594009386,0.05298162389239742,0.04900782867959118,0.04813085297046849,0.04722941380338855
MSFT,0.058212247885420815,0.06070371269903057,0.06328708300426299,0.05600408222691565,0.05594260425902499,0.06419350945723543,0.05570667346816052,0.0594716002969634,0.05641797473344449,0.053705309156008824,0.0550584792443356,0.05894757185866566,0.059651009278602514,0.059126786902878696,0.05957399372679115,0.0613968082463423
NVDA,0.051523478875526066,0.04704632038093693,0.05148792749966891,0.051344111517409204,0.0527063820741832,0.054140343786211395,0.05304197032521862,0.0574278390092824,0.06065304961394143,0.028236434335123715,0.03118721367700708,0.05089557646039051,0.05340770912737028,0.05485516219924204,0.05384264217463185,0.04888104680507685
TSLA,0.05055176051879759,0.04592930416789643,0.04742914281533233,0.047584323021801544,0.04862960807297601,0.047991268476505866,0.047171639756439995,0.045801529114144125,0.05791713617355315,0.02409480910657145,0.025294586061881803,0.05193334299199934,0.05333445650927012,0.05152702146062572,0.052806014934856135,0.04590159086482599
AMZN,0.0570579232333786,0.05789057140878132,0.05607172666997208,0.05473868195283481,0.05505866547457184,0.056500229210774494,0.05459571867865553,0.05285171389272318,0.05753772486238051,0.04000969535650462,0.04182561249814939,0.05744906043023747,0.05809277255084365,0.05787104753399048,0.05841013098614967,0.058179121044759634
HD,0.0515992460085132,0.04768832035450748,0.05311746480459509,0.04853481928694858,0.0501484376311,0.05453080930896473,0.049057942744077626,0.04723516015450944,0.04578818525045806,0.05827184893966705,0.04842314702342648,0.05041905667584648,0.05254349441182616,0.04129933656248281,0.04022910124744656,0.03726802805320523
JPM,0.0643534308390823,0.07096801632408421,0.0643657635626608,0.0625213381384866,0.06125954288214738,0.062478136433637706,0.06269850721112796,0.06620010183508589,0.06251085833083915,0.05886340229759835,0.06672847060084006,0.06335380212220171,0.06123190238427662,0.07047666570171325,0.06966808124712023,0.07640941485016997
BAC,0.059462684793652715,0.05848447595215126,0.050357875519321596,0.05681631213979019,0.06066461584320928,0.053265043372390415,0.05916349238363353,0.05837147719684949,0.06276666165256019,0.05281706710826964,0.06026330367960774,0.0556377383644045,0.0599606572540248,0.06544960087250541,0.06115494999240446,0.06312694243820327
GS,0.054060188499462654,0.05257771652689086,0.04812777823287787,0.05297299846815787,0.052321299907624234,0.04798164378829183,0.0521113927197224,0.048935127785792655,0.05921642879801072,0.05101855977917017,0.05465942368891844,0.05514281777139981,0.055734351331543856,0.05640276104068127,0.05776283777675774,0.05442545194616818
XOM,0.06870487210836553,0.07888117961834926,0.09093740773019104,0.0664712110329366,0.0654175368829487,0.08955021657961838,0.06667628911726109,0.0730031691186448,0.0688728067098557,0.055069627789631856,0.06900022975311357,0.06583938816314629,0.06498648626049709,0.0831595823860059,0.07962833482037456,0.09360257542629347
CVX,0.06715620533490857,0.07815126434706528,0.07319969391290988,0.06920351087365594,0.06846192425264976,0.07218573727016378,0.06949103985385373,0.07228076052077424,0.06737090653200575,0.057300254800707204,0.07027643924973857,0.06783634101080314,0.06731614377173097,0.07964238001248208,0.08039187005252588,0.0913701744215264
COP,0.0668965412434778,0.07422059975680721,0.08152686626991128,0.06610424806667403,0.06773557335104674,0.0831088647241953,0.06688674256632605,0.07723430295797838,0.06776013756154825,0.04547390362627016,0.05619090578791236,0.06385535844040038,0.06647848800396143,0.07982784741202067,0.07600056539401344,0.08679142122859654
JNJ,0.04879294195909133,0.044396803290801805,0.04174458246523257,0.052135873469033915,0.0528936347029458,0.04207071054682796,0.05219208435047206,0.05262706587067818,0.04351426254452955,0.08185912244466512,0.06479477354328116,0.05064016726484395,0.04996585196547012,0.037154991877019046,0.03862974485260519,0.03330483977278161
UNH,0.03923240683693559,0.027255147342392035,0.02312529059836697,0.02881560405413078,0.028854987519341173,0.02341484609281607,0.028508906715831263,0.02600705489273872,0.03919027985296329,0.04997378738463608,0.03743834324502107,0.03416371057266397,0.03217090523031891,0.028429592388041953,0.02567539759026834,0.02073279712507052
PFE,0.05145698358696911,0.05008815613629838,0.053249243050192664,0.06805248316781418,0.06595732193021225,0.051112475856686976,0.06697628222942682,0.05248017701746707,0.040385342410619404,0.056627815576628,0.04251475830925574,0.05606042723317106,0.054537254632013706,0.03700055807302733,0.04135894160313009,0.03687108509750673
WMT,0.04488141040337283,0.04024882511552844,0.037695870018879515,0.04066172031498358,0.035979206836493874,0.033780668067059046,0.0383224595674592,0.027090126461151505,0.044006864449485664,0.06722938457290707,0.053680013924912846,0.049822194838554205,0.04252407474990777,0.034766413383583286,0.038721516048004306,0.030818502558801444
PG,0.05452014018984702,0.054786684802064924,0.05576311559409968,0.05435705920456663,0.052477086500903575,0.054050167723732716,0.05160072967976624,0.05225190865291766,0.057708042531655755,0.0789218149605263,0.08274111376581646,0.057296107842498986,0.05506187203749512,0.05522264822425587,0.05798781983454652,0.054446494333268924
KO,0.0582009882263501,0.0597133163317687,0.06011482105599642,0.06893780050960323,0.06907125167504376,0.060254183898374954,0.06950911782824844,0.07254283484390713,0.057553632693190304,0.0877136492311381,0.09170142823337446,0.0594952613647631,0.06002094660844949,0.058779775289852954,0.060027204747905474,0.0592442919840144
