Model,ARMA-GARCH_Sharpe,ARMA-GARCH_Beat%,ARMA-GARCH_ES%,Z-Score_Sharpe,Z-Score_Beat%,Z-Score_ES%,Raw_Sharpe,Raw_Beat%,Raw_ES%
AD Only,1.1507,67.0,-2.3526,1.1918,75.2,-2.3474,1.0259,39.7,-2.226
Correlation + ED,1.1833,73.8,-2.4161,1.2318,83.5,-2.408,1.1211,61.2,-2.153
Correlation + ED + KS,1.1569,68.2,-2.4362,1.2281,82.8,-2.4127,1.058,46.5,-2.3228
Correlation + KS,1.1488,66.8,-2.4241,1.1725,71.7,-2.4101,1.0565,46.1,-2.2303
Correlation + Volatility,1.1315,63.2,-2.0746,1.1311,63.2,-2.0748,1.1311,63.2,-2.0748
Correlation Only,1.1729,72.0,-2.4073,1.1717,71.5,-2.4074,1.1717,71.5,-2.4074
ED + AD + L-Kurt,1.1681,70.9,-2.4146,1.2326,83.6,-2.4014,1.0213,39.1,-2.3962
ED + AD + Tail_Asym,1.1816,73.6,-2.3738,1.2496,85.9,-2.359,1.1288,62.7,-2.2194
ED + CvM + Tail_Asym,1.179,73.2,-2.3757,1.2537,86.7,-2.364,1.1202,61.0,-2.1741
ED + Epps-Singleton + Tail_Asym,1.2003,77.0,-2.3767,1.3233,92.6,-2.3662,1.1518,67.2,-2.2945
ED + KS,1.1697,71.1,-2.3723,1.2225,81.4,-2.3528,1.051,44.8,-2.2363
ED + KS + L-Kurt,1.1628,70.0,-2.4164,1.1997,77.0,-2.4022,1.0318,40.8,-2.2891
ED + KS + Tail_Asym,1.1832,73.8,-2.3785,1.2203,81.1,-2.3637,1.1073,58.6,-2.1372
ED Only,1.1799,73.5,-2.3439,1.2178,80.7,-2.3338,1.1009,57.7,-2.0909
KS Only,1.1577,68.2,-2.353,1.1668,70.9,-2.3457,1.0415,43.2,-2.1517
Volatility Only,1.1002,57.4,-2.0111,1.1013,57.7,-2.011,1.1013,57.7,-2.011
