Stock,Risk Profile,Equal Weight (%),Overall Avg Weight (%),Best Model Weight (%)
CVX,Intermediate Distributional Profile,5.555555555555555,9.444294021424703,11.570989692523428
XOM,Low Distributional Risk,5.555555555555555,8.882350824576154,9.386267029593087
KO,Intermediate Distributional Profile,5.555555555555555,8.173880962382436,9.339229865863903
AAPL,Intermediate Distributional Profile,5.555555555555555,6.063766490569742,7.491530074096879
MSFT,Intermediate Distributional Profile,5.555555555555555,6.258543968400971,7.0861581938002
COP,Low Distributional Risk,5.555555555555555,6.409108666252434,6.27629950373077
HD,Low Distributional Risk,5.555555555555555,5.464413462559384,6.141405134008183
JNJ,Intermediate Distributional Profile,5.555555555555555,5.756982932739932,6.099556407778314
JPM,Intermediate Distributional Profile,5.555555555555555,5.8004187518178725,5.40088899404493
PG,Intermediate Distributional Profile,5.555555555555555,5.727746740299855,4.479034097010777
NVDA,Low Distributional Risk,5.555555555555555,3.942411942501941,4.253040600584234
BAC,Intermediate Distributional Profile,5.555555555555555,4.987915751123811,4.178442117476173
AMZN,Intermediate Distributional Profile,5.555555555555555,4.700755797463768,3.9803349529451535
PFE,Intermediate Distributional Profile,5.555555555555555,4.097527425217701,3.503102212575627
GS,Intermediate Distributional Profile,5.555555555555555,4.326183333713548,3.3306382426371366
TSLA,Intermediate Distributional Profile,5.555555555555555,3.4482602289045983,3.1319398127439717
WMT,High Distributional Risk,5.555555555555555,3.73526789507015,2.2408295553859934
UNH,High Distributional Risk,5.555555555555555,2.7801708049809153,2.1103135132011603
